horizon_min,RMSE,MAE,bias,P90AE,corr_spatial_mean,skill_RMSE_vs_ref,skill_MAE_vs_ref,model
15,34.2333357589533,28.55107363426052,-2.447420308422627,50.46002197265625,0.984782028960938,-0.587647345023425,-1.2575094987883726,persistence_raw
30,63.91294571516308,54.02460951788963,-2.1220945397638813,98.0,0.9407959798174423,-0.7434478853367072,-1.4953840376115277,persistence_raw
45,92.43995928437103,78.73487913169892,0.5747161778017754,142.24002075195312,0.8722610569605311,-0.8538376972249246,-1.6586640306151823,persistence_raw
60,118.73374956253492,101.73030428320932,5.375779430965177,180.83999633789062,0.7877486732021376,-1.0147934532962197,-1.903767474214158,persistence_raw
15,21.562304658136615,12.647155472439458,-1.998343209340589,35.05283203125002,0.9988307210230473,4.63772353853642e-10,7.906917343092346e-10,persistence_csi
30,36.65893671687541,21.649817694853002,-3.337098399854092,59.92421264648438,0.9960889479880374,2.7278479475256745e-10,4.6189774227656244e-10,persistence_csi
45,49.86410590539253,29.61445229576224,-4.368226436416582,81.90197753906251,0.9926972895700809,2.005450250308627e-10,3.376730006721118e-10,persistence_csi
60,58.93097843262173,35.03390170099717,-5.242514168105417,97.20591430664064,0.9899699045768914,1.6969003979738773e-10,2.8543778451961543e-10,persistence_csi
15,26.843403966982834,15.103279554308164,-1.8114085718941009,41.20230407714844,0.9988986174806939,-0.24492276591612616,-0.19420367491164536,advective_csi
30,43.43407031414423,25.20074128435242,-3.169488835073125,69.06634674072274,0.9962618452467482,-0.18481533269080952,-0.16401632696904622,advective_csi
45,55.65211860213782,32.865734924209676,-4.039339890146985,90.42901000976565,0.9930039598725976,-0.11607573384683101,-0.10978702509432581,advective_csi
60,64.23010246634107,38.11101575098131,-4.70838314272104,105.65835266113282,0.990316411937817,-0.08992085595318655,-0.08783246768709829,advective_csi
15,278.42218196259256,239.32429757065378,221.4551587598517,425.6342285156251,,-11.912450048719835,-17.923171926126386,mean_image
30,279.48722344213513,240.19716389647047,222.4648788926823,428.20886840820316,,-6.623986083514456,-10.094650641914093,mean_image
45,282.6962725498205,242.4870277283228,223.93601729427422,441.6720245361328,,-4.669334030163672,-7.1881314307184,mean_image
60,287.565184509239,245.01125382247542,225.54211027608767,462.94783782958984,,-3.8796947226869385,-5.99354744566079,mean_image
15,21.151738960913264,13.05384447720461,-1.0860407940169035,33.888430786132815,0.9991431600493617,0.0190409009399658,-0.03215655847117849,ridge_residual_csi
30,35.571498948351035,22.040083456547233,-0.7324821443125571,58.11294555664064,0.9974767165764526,0.02966364754728834,-0.018026283501072937,ridge_residual_csi
45,48.576199099666724,30.057781574331674,-0.8442951559973373,79.53273010253909,0.9948360645072181,0.02582833467246104,-0.014970030983256555,ridge_residual_csi
60,57.47251003539432,35.70348877981219,-1.1421890478703647,94.16490478515627,0.9926143162114361,0.02474875601543669,-0.0191125463083901,ridge_residual_csi
15,21.323569665026387,13.17217393508988,-1.4743478808150712,34.27508239746095,0.9990385307238265,0.01107186855879172,-0.041512769680060346,elasticnet_residual_csi
30,35.64455833659277,22.061696010383752,-1.232108215062776,58.13975830078125,0.9974189095331738,0.027670698630464563,-0.01902456229173799,elasticnet_residual_csi
45,48.64630631232954,30.0587968976971,-1.361773846310463,79.72993164062503,0.9947521842576244,0.024422369171309355,-0.015004315708665006,elasticnet_residual_csi
60,57.62457941474509,35.73690171915351,-1.6286810237322804,94.5451629638672,0.99232792842692,0.022168290131965418,-0.02006627791433413,elasticnet_residual_csi
15,20.892361144400073,12.278491514535485,-1.5945230569657431,33.773474121093756,0.9993917387220989,0.031070126039288493,0.02914995141918375,extra_trees_residual_csi
30,35.35434106541223,20.86847370937764,-2.197892158307194,57.42388610839846,0.99789641197899,0.03558738408544071,0.036090095821001755,extra_trees_residual_csi
45,48.204793765818415,28.49108435854903,-2.5773098061212676,78.54648437500003,0.995671487861236,0.033276685084649205,0.0379330988672254,extra_trees_residual_csi
60,56.99153085435637,33.61828861351001,-2.8500168339969205,93.37891845703126,0.9937684311609524,0.03291049358961018,0.04040694950750512,extra_trees_residual_csi
15,20.92770391524506,12.345514388693465,-1.5112815975561473,33.852514648437506,0.9993560558182129,0.0294310261662023,0.023850508848793917,random_forest_residual_csi
30,35.43565835931515,20.999219761013677,-2.0482194296629954,57.53522949218754,0.9977729226882857,0.03336917207048862,0.030050966373425303,random_forest_residual_csi
45,48.32740976429908,28.68333325773407,-2.294610029071917,78.68427734375001,0.9954373291902253,0.030817681835123234,0.03144137323272389,random_forest_residual_csi
60,57.111900678081895,33.86734294327163,-2.387669499872762,93.56276855468751,0.9935184251935826,0.03086793758754547,0.03329799738974992,random_forest_residual_csi
15,20.94138664681384,12.426871708648449,-1.7332224008174826,33.80575561523439,0.9993721736724444,0.02879645895368177,0.017417653645270148,hist_gb_residual_csi
30,35.50099726388351,21.253789205870476,-2.2397437274007204,57.659014892578135,0.9977597742916513,0.031586826197907425,0.01829246344618196,hist_gb_residual_csi
45,48.43869625206985,29.02369478031964,-2.974734531482593,78.75792236328128,0.9953548680442637,0.028585886323546084,0.019948284686921447,hist_gb_residual_csi
60,57.36333668387456,34.408942257290484,-3.336802252482632,94.0343688964844,0.9931881912503226,0.026601319037550142,0.017838705459132798,hist_gb_residual_csi
15,20.351014193013217,12.169119891686991,-1.6906984570291035,32.661169433593756,0.9993964709976698,0.05617629904438581,0.03779787410823077,hist_gb_patch2x2_residual_csi
30,34.35452944228136,20.627276347453677,-2.230473965751494,55.59510498046884,0.9979519328673261,0.06286072347823013,0.047230945375124955,hist_gb_patch2x2_residual_csi
45,47.09780469950868,28.24450866207215,-2.228399653216394,76.42746429443359,0.9959220193708759,0.05547680370681074,0.046259293589013484,hist_gb_patch2x2_residual_csi
60,56.08108039275568,33.633428866265106,-2.7046280302808503,91.66649475097657,0.9941126632766768,0.04835993097655522,0.03997478945636401,hist_gb_patch2x2_residual_csi
